slug,winery_name,address,latitude,longitude,dok_attendance,event,google_maps_url,source_url,is_eco
amalia-mavric,Amalia Mavrič,"Šlovrenc 9, 5212 Dobrovo v Brdih",46.0089968,13.5141174,both_days,DOK 2026,"https://www.google.com/maps?q=46.0089968,13.5141174",https://kontrabant.si/ponudba/amalia-mavric/,false
benedetic,Benedetič,"Vipolže 65B, 5212 Dobrovo v Brdih",45.9754764,13.532975,both_days,DOK 2026,"https://www.google.com/maps?q=45.9754764,13.532975",https://kontrabant.si/ponudba/benedetic/,false
danilo-mavric-vina,Danilo Mavrič Vina,"Plešivo 36a, Dobrovo v Brdih",45.9818977,13.503475,both_days,DOK 2026,"https://www.google.com/maps?q=45.9818977,13.503475",https://kontrabant.si/ponudba/danilo-mavric-vina/,false
de-baguer,de Baguer,"Grajska cesta 10, 5212 Dobrovo v Brdih",45.9966816,13.5240313,both_days,DOK 2026,"https://www.google.com/maps?q=45.9966816,13.5240313",https://kontrabant.si/ponudba/de-baguer/,false
domacija-bizjak,Domačija Bizjak,"Brestje 13a, 5211 Kojsko",46.0076617,13.5847855,both_days,DOK 2026,"https://www.google.com/maps?q=46.0076617,13.5847855",https://kontrabant.si/ponudba/domacija-bizjak/,false
domacija-radikon,Domačija Radikon,"Kozana 128, 5212 Dobrovo v Brdih",45.991757,13.5609749,sunday_only,DOK 2026,"https://www.google.com/maps?q=45.991757,13.5609749",https://kontrabant.si/ponudba/domacija-radikon/,false
domenis,Domenis,"Šlovrenc 5, 5212 Dobrovo v Brdih",46.0054657,13.5127949,both_days,DOK 2026,"https://www.google.com/maps?q=46.0054657,13.5127949",https://kontrabant.si/ponudba/domenis/,false
emeran-reya-estate,Emeran Reya Estate,"Kozana 2, 5212 Dobrovo v Brdih",45.9831508,13.5386495,both_days,DOK 2026,"https://www.google.com/maps?q=45.9831508,13.5386495",https://kontrabant.si/ponudba/emeran-reya-estate/,true
klet-brda,Klet Brda,"Zadružna cesta 9, 5212 Dobrovo v Brdih",45.99837400000001,13.5234259,both_days,DOK 2026,"https://www.google.com/maps?q=45.99837400000001,13.5234259",https://kontrabant.si/ponudba/klet-brda/,false
kmetija-murenc,Kmetija Murenc,"Snežatno 25, 5211 Kojsko",45.998407,13.574439,both_days,DOK 2026,"https://www.google.com/maps?q=45.998407,13.574439",https://kontrabant.si/ponudba/kmetija-murenc/,true
kmetija-princic,Kmetija Prinčič,"Kozana 11, 5212 Dobrovo v Brdih",45.9853286,13.5440773,saturday_only,DOK 2026,"https://www.google.com/maps?q=45.9853286,13.5440773",https://kontrabant.si/ponudba/kmetija-princic/,true
kmetija-sibav-danjela,Vina & Turizem Šibav,"Neblo 45, 5212 Dobrovo v Brdih",46.0085106,13.5030806,both_days,DOK 2026,"https://www.google.com/maps?q=46.0085106,13.5030806",https://kontrabant.si/ponudba/kmetija-sibav-danjela/,true
kristalvin,Kristalvin,"Višnjevik 39, Dobrovo v Brdih",46.0206272,13.531051,both_days,DOK 2026,"https://www.google.com/maps?q=46.0206272,13.531051",https://kontrabant.si/ponudba/kristalvin/,false
moro-vina,Moro Vina,"Vipolže 62, 5212 Dobrovo v Brdih",45.9738606,13.5305144,both_days,DOK 2026,"https://www.google.com/maps?q=45.9738606,13.5305144",https://kontrabant.si/ponudba/moro-vina/,false
persolja-vina,Peršolja vina,"Kozana 19, 5212 Dobrovo v Brdih",45.9881774,13.5449481,both_days,DOK 2026,"https://www.google.com/maps?q=45.9881774,13.5449481",https://kontrabant.si/ponudba/persolja-vina/,false
posestvo-pintar,Posestvo Pintar,"Brestje 12a, Kojsko",46.0079441,13.5843393,both_days,DOK 2026,"https://www.google.com/maps?q=46.0079441,13.5843393",https://kontrabant.si/ponudba/posestvo-pintar/,false
