winery_slug,wine_label,wine_name,vintage_year,list_position
amalia-mavric,Rebula 2025,Rebula,2025,1
amalia-mavric,Sivi pinot 2025,Sivi pinot,2025,2
amalia-mavric,Chardonnay 2025,Chardonnay,2025,3
amalia-mavric,Sauvignon vert 2025,Sauvignon vert,2025,4
amalia-mavric,Cabernet Sauvignon 2024,Cabernet Sauvignon,2024,5
amalia-mavric,Raptor sekelcija 2023,Raptor sekelcija,2023,6
amalia-mavric,Cabernet Sauvignon selekcija 2023,Cabernet Sauvignon selekcija,2023,7
benedetic,Rebula 2024,Rebula,2024,1
benedetic,Beli pinot 2024,Beli pinot,2024,2
benedetic,Sivi pinot 2025,Sivi pinot,2025,3
benedetic,Merlot 2022,Merlot,2022,4
danilo-mavric-vina,Rebula 2024,Rebula,2024,1
danilo-mavric-vina,Sauvignon vert 2025,Sauvignon vert,2025,2
danilo-mavric-vina,Sivi pinot 2024,Sivi pinot,2024,3
danilo-mavric-vina,Chardonnay selekcija 2021,Chardonnay selekcija,2021,4
danilo-mavric-vina,Gigi 2021,Gigi,2021,5
danilo-mavric-vina,Merlot 2020,Merlot,2020,6
danilo-mavric-vina,Cabernet 2018,Cabernet,2018,7
de-baguer,Virgo zero,Virgo zero,,1
de-baguer,"de Baguer chardonnay-sauvignon blanc,","de Baguer chardonnay-sauvignon blanc,",,2
de-baguer,A plus belo,A plus belo,,3
de-baguer,A plus rdeče,A plus rdeče,,4
domacija-bizjak,Rebula 2025,Rebula,2025,1
domacija-bizjak,Chardonnay 2025,Chardonnay,2025,2
domacija-bizjak,Sivi pinot 2025,Sivi pinot,2025,3
domacija-bizjak,Rose 2025,Rose,2025,4
domacija-radikon,Rebula 2023,Rebula,2023,1
domacija-radikon,Tokaj 2023,Tokaj,2023,2
domacija-radikon,Chardonnay 2023,Chardonnay,2023,3
domacija-radikon,Malvazija 2023,Malvazija,2023,4
domenis,Sauvignon,Sauvignon,,1
domenis,Sivi Pinot,Sivi Pinot,,2
domenis,Chardonnay,Chardonnay,,3
domenis,Rebula,Rebula,,4
domenis,Sauvignonasse,Sauvignonasse,,5
domenis,Malvazija Cabernet Sauvignon,Malvazija Cabernet Sauvignon,,6
domenis,Cabernet Franc,Cabernet Franc,,7
domenis,Merlot,Merlot,,8
emeran-reya-estate,Sveža vina letnik 2024,Sveža vina letnik,2024,1
emeran-reya-estate,Penine klasične metode,Penine klasične metode,,2
emeran-reya-estate,Maceracije letnik 2020,Maceracije letnik,2020,3
emeran-reya-estate,Rdeča vina,Rdeča vina,,4
kmetija-murenc,Aluber 2023,Aluber,2023,1
kmetija-murenc,Brajda 2023,Brajda,2023,2
kmetija-murenc,Malvazija 2022,Malvazija,2022,3
kmetija-murenc,Mlaka 2022,Mlaka,2022,4
kmetija-murenc,Sivi Pinot 2022,Sivi Pinot,2022,5
kmetija-murenc,Merlot 2022,Merlot,2022,6
kmetija-murenc,Rose 2022,Rose,2022,7
kmetija-princic,Rebula,Rebula,,1
kmetija-princic,Jakot,Jakot,,2
kmetija-princic,Chardonnay,Chardonnay,,3
kmetija-princic,Modri Pinot,Modri Pinot,,4
kmetija-sibav-danjela,penina Salutem,penina Salutem,,1
kmetija-sibav-danjela,Rebula 2023,Rebula,2023,2
